index,name,slug,equipment,movement_pattern,measurement_type,default_unit,calories_estimation_method,primary_muscle,primary_muscles,secondary_muscles,pattern_detail,plane_of_motion,exercise_utility,body_position,training_goal,difficulty,setup_cost,stability_requirement,unilateral_profile,loading_profile,joint_emphasis,spine_demand,grip_constraint,how_to_short
13,Cable Crunch,cable-crunch,Cable,push,reps,reps,,core,core,hip flexors,trunk_flexion,sagittal,isolation,standing,hypertrophy | accessory,beginner,moderate_setup,freestanding,bilateral,cable_loaded,trunk_flexion,low_spinal_load,,"Brace first, curl the ribcage toward the pelvis through the abs, and return without yanking through the neck or hips."
14,Cable Curl,cable-curl,Cable,pull,reps,reps,,biceps,lats | mid back,biceps,elbow_flexion,sagittal,isolation,standing,hypertrophy | accessory,beginner,moderate_setup,freestanding,bilateral,cable_loaded,elbow_flexion,low_spinal_load,,"Keep the upper arm quiet, curl the load toward shoulder height, and lower without letting the torso sway or the shoulders roll forward."
15,Cable Fly,cable-fly,Cable,push,reps,reps,,chest,chest,front delts,chest_fly,transverse,isolation,standing,hypertrophy | accessory,intermediate,moderate_setup,freestanding,bilateral,cable_loaded,shoulder_horizontal_adduction,low_spinal_load,,"Keep a soft elbow bend, open through the chest until the shoulders stay packed, then bring the handles or bells back together with control."
16,Cable Kickback,cable-kickback,Cable,hinge,reps,reps,,glutes,glutes,hamstrings | core,hip_extension,sagittal,auxiliary,standing,hypertrophy | accessory,intermediate,moderate_setup,freestanding,bilateral,cable_loaded,hip_dominant,low_spinal_load,,"Brace, drive through the heels, extend the hips until the ribs stay stacked, and lower without arching the low back."
17,Cable Lateral Raise,cable-lateral-raise,Cable,push,reps,reps,,side delts,side delts,upper traps,shoulder_abduction,frontal,isolation,standing,hypertrophy | accessory,intermediate,moderate_setup,freestanding,bilateral,cable_loaded,shoulder_abduction,low_spinal_load,,"Raise the load out to shoulder height with a soft elbow, keep the shoulders down, and lower without swinging."
18,Cable Rear Delt Fly,cable-rear-delt-fly,Cable,pull,reps,reps,,rear delts,rear delts,upper back,shoulder_horizontal_abduction,transverse,isolation,standing,hypertrophy | accessory,intermediate,moderate_setup,freestanding,bilateral,cable_loaded,shoulder_horizontal_abduction,low_spinal_load,,"Set the shoulders down, sweep the arms out and back in line with the rear delts, and return without shrugging or jutting the ribs forward."
19,Calf Raise (Seated),calf-raise-seated,Machine,hinge,reps,reps,,calves,calves,,plantar_flexion,sagittal,isolation,seated,hypertrophy | accessory,beginner,quick_setup,supported,bilateral,machine_loaded,plantar_flexion,low_spinal_load,,"Move through a full ankle stretch, rise onto the ball of the foot, pause at the top, and lower under control."
20,Calf Raise (Standing),calf-raise-standing,Machine,hinge,reps,reps,,calves,calves,,plantar_flexion,sagittal,isolation,standing,hypertrophy | accessory,beginner,quick_setup,supported,bilateral,machine_loaded,plantar_flexion,low_spinal_load,,"Move through a full ankle stretch, rise onto the ball of the foot, pause at the top, and lower under control."
21,Chest-Supported Row,chest-supported-row,Machine,pull,reps,reps,,"lats, mid back",lats | mid back,rear delts | biceps,horizontal_pull,sagittal,basic,prone,strength | hypertrophy,beginner,quick_setup,supported,bilateral,machine_loaded,horizontal_pull,chest_supported,,"Brace the torso, pull the load toward the lower ribs or hip, squeeze the upper back, and return without letting the shoulders dump forward."
22,Chin-Up,chin-up,Bodyweight,pull,reps,reps,,"lats, biceps",lats | biceps,upper back | core,vertical_pull,sagittal,basic,hanging,strength | hypertrophy,intermediate,quick_setup,hanging,bilateral,bodyweight,vertical_pull,low_spinal_load,supinated_grip | hanging,"Start from a full hang or reach, pull the elbows toward the ribs until the bar comes to you, and lower to full extension under control."
23,Close-Grip Bench Press,close-grip-bench-press,Barbell,push,reps,reps,,"triceps, chest",chest | triceps,front delts,horizontal_push,sagittal,basic,supine,strength | hypertrophy,intermediate,high_setup,supported,bilateral,free_weight,horizontal_press,low_spinal_load,close_grip,"Set the shoulders back and down, lower the load to the chest or handles with stacked wrists, and press to full elbow extension under control."
24,Close-Grip Lat Pulldown,close-grip-lat-pulldown,Cable,pull,reps,reps,,lats,lats | mid back,biceps,vertical_pull,sagittal,basic,standing,hypertrophy | accessory,intermediate,moderate_setup,freestanding,bilateral,cable_loaded,vertical_pull,low_spinal_load,close_grip | shoulder_depression,"Set the shoulders down first, pull the bar toward the upper chest by driving the elbows to your sides, and return to full reach without shrugging."
25,Close-Grip Push-Up,close-grip-push-up,Bodyweight,push,reps,reps,,"triceps, chest",chest | triceps,front delts,horizontal_push,sagittal,basic,standing,hypertrophy | accessory,intermediate,quick_setup,freestanding,bilateral,bodyweight,horizontal_press,low_spinal_load,close_grip,"Brace from head to heels, lower under control through your available range, and press back up without losing shoulder or trunk position."
26,Concentration Curl,concentration-curl,Dumbbell,pull,reps,reps,,biceps,lats | mid back,biceps,elbow_flexion,sagittal,isolation,standing,hypertrophy | accessory,beginner,quick_setup,freestanding,bilateral,free_weight,elbow_flexion,low_spinal_load,,"Keep the upper arm quiet, curl the load toward shoulder height, and lower without letting the torso sway or the shoulders roll forward."
27,Cross-Body Hammer Curl,cross-body-hammer-curl,Dumbbell,pull,reps,reps,,"biceps, forearms",lats | mid back,biceps,elbow_flexion,sagittal,isolation,standing,hypertrophy | accessory,beginner,quick_setup,freestanding,bilateral,free_weight,elbow_flexion,low_spinal_load,,"Keep the upper arm quiet, curl the load toward shoulder height, and lower without letting the torso sway or the shoulders roll forward."
28,Dead Bug,dead-bug,Bodyweight,push,reps,reps,,core,core,hip flexors,trunk_bracing,sagittal,auxiliary,supine,core_stability | accessory,intermediate,quick_setup,freestanding,bilateral,bodyweight,trunk_bracing,low_spinal_load,,"Brace the trunk, keep the ribs stacked over the pelvis, and hold the position without letting the low back arch or the torso rotate."
29,Deadlift,deadlift,Barbell,hinge,reps,reps,,"glutes, hamstrings, lower back",glutes | hamstrings,lower back | core,hinge,sagittal,basic,standing,strength | hypertrophy,intermediate,high_setup,freestanding,bilateral,free_weight,hip_dominant,high_spinal_load,,"Brace hard, keep the load close as you hinge and drive through the floor, and lock out the hips without overextending the low back."
30,Decline Barbell Bench Press,decline-barbell-bench-press,Barbell,push,reps,reps,,"chest, triceps",chest | triceps,front delts,horizontal_push,sagittal,basic,supine,strength | hypertrophy,intermediate,high_setup,supported,bilateral,free_weight,horizontal_press,low_spinal_load,,"Set the shoulders back and down, lower the load to the chest or handles with stacked wrists, and press to full elbow extension under control."
31,Decline Dumbbell Bench Press,decline-dumbbell-bench-press,Dumbbell,push,reps,reps,,"chest, triceps",chest | triceps,front delts,horizontal_push,sagittal,basic,supine,strength | hypertrophy,intermediate,high_setup,supported,bilateral,free_weight,horizontal_press,low_spinal_load,,"Set the shoulders back and down, lower the load to the chest or handles with stacked wrists, and press to full elbow extension under control."
32,Deficit Push-Up,deficit-push-up,Bodyweight,push,reps,reps,,"chest, triceps",chest | triceps,front delts,horizontal_push,sagittal,basic,standing,hypertrophy | accessory,intermediate,quick_setup,freestanding,bilateral,bodyweight,horizontal_press,low_spinal_load,,"Brace from head to heels, lower under control through your available range, and press back up without losing shoulder or trunk position."
33,Dips (Chest),dips-chest,Bodyweight,push,reps,reps,,"chest, triceps",chest | triceps,front delts,horizontal_push,sagittal,basic,standing,hypertrophy | accessory,intermediate,quick_setup,freestanding,bilateral,bodyweight,horizontal_press,low_spinal_load,,"Support your body with the shoulders packed, lower until the upper arm reaches your controlled depth, and press back to lockout without swinging."
34,Dips (Triceps),dips-triceps,Bodyweight,push,reps,reps,,triceps,chest | triceps,front delts,horizontal_push,sagittal,basic,standing,hypertrophy | accessory,intermediate,quick_setup,freestanding,bilateral,bodyweight,horizontal_press,low_spinal_load,,"Support your body with the shoulders packed, lower until the upper arm reaches your controlled depth, and press back to lockout without swinging."
35,Donkey Calf Raise,donkey-calf-raise,Machine,push,reps,reps,,calves,chest | triceps,front delts,plantar_flexion,sagittal,isolation,seated,hypertrophy | accessory,beginner,quick_setup,supported,bilateral,machine_loaded,plantar_flexion,low_spinal_load,,"Move through a full ankle stretch, rise onto the ball of the foot, pause at the top, and lower under control."
36,Dumbbell Bench Press,dumbbell-bench-press,Dumbbell,push,reps,reps,,"chest, triceps",chest | triceps,front delts,horizontal_push,sagittal,basic,supine,strength | hypertrophy,intermediate,high_setup,supported,bilateral,free_weight,horizontal_press,low_spinal_load,,"Set the shoulders back and down, lower the load to the chest or handles with stacked wrists, and press to full elbow extension under control."
37,Dumbbell Curl,dumbbell-curl,Dumbbell,pull,reps,reps,,biceps,lats | mid back,biceps,elbow_flexion,sagittal,isolation,standing,hypertrophy | accessory,beginner,quick_setup,freestanding,bilateral,free_weight,elbow_flexion,low_spinal_load,,"Keep the upper arm quiet, curl the load toward shoulder height, and lower without letting the torso sway or the shoulders roll forward."
38,Dumbbell Fly,dumbbell-fly,Dumbbell,push,reps,reps,,chest,chest | triceps,front delts,chest_fly,transverse,isolation,supine,hypertrophy | accessory,intermediate,quick_setup,freestanding,bilateral,free_weight,shoulder_horizontal_adduction,low_spinal_load,,"Keep a soft elbow bend, open through the chest until the shoulders stay packed, then bring the handles or bells back together with control."
39,Dumbbell Overhead Triceps Extension,dumbbell-overhead-triceps-extension,Dumbbell,push,reps,reps,,triceps,chest | triceps,front delts,elbow_extension,sagittal,isolation,standing,hypertrophy | accessory,intermediate,quick_setup,freestanding,bilateral,free_weight,elbow_extension,low_spinal_load,,"Pin the upper arm in place, extend the elbow to full lockout, and return with control instead of letting the weight yank you back."
40,Dumbbell Row,dumbbell-row,Dumbbell,pull,reps,reps,,"lats, mid back",lats | mid back,biceps,horizontal_pull,sagittal,basic,standing,strength | hypertrophy,intermediate,quick_setup,freestanding,bilateral,free_weight,horizontal_pull,low_spinal_load,,"Brace the torso, pull the load toward the lower ribs or hip, squeeze the upper back, and return without letting the shoulders dump forward."
41,EZ-Bar Curl,ez-bar-curl,Barbell,pull,reps,reps,,biceps,lats | mid back,biceps,elbow_flexion,sagittal,isolation,standing,hypertrophy | accessory,beginner,high_setup,freestanding,bilateral,free_weight,elbow_flexion,low_spinal_load,,"Keep the upper arm quiet, curl the load toward shoulder height, and lower without letting the torso sway or the shoulders roll forward."
42,Face Pull,face-pull,Cable,pull,reps,reps,,"rear delts, upper back",rear delts | upper back,upper traps,horizontal_pull,sagittal,basic,standing,hypertrophy | accessory,beginner,moderate_setup,freestanding,bilateral,cable_loaded,horizontal_pull,low_spinal_load,,"Pull the rope toward eye level with elbows high, finish by rotating the hands back, and return without letting the ribs flare."
43,Front Raise,front-raise,Dumbbell,push,reps,reps,,front delts,front delts,upper traps,shoulder_flexion,sagittal,isolation,standing,hypertrophy | accessory,beginner,quick_setup,freestanding,bilateral,free_weight,shoulder_flexion,low_spinal_load,,"Lift the load in front to shoulder height without leaning back, pause briefly, and lower under control."
44,Front Squat,front-squat,Barbell,squat,reps,reps,,"quads, glutes",quads | glutes,core | adductors,squat,sagittal,basic,standing,strength | hypertrophy,intermediate,high_setup,freestanding,bilateral,free_weight,knee_dominant,high_spinal_load,front_rack,"Brace the trunk, descend by sitting between the hips while keeping pressure through the whole foot, and drive up through mid-foot."
45,Glute Bridge,glute-bridge,Barbell,hinge,reps,reps,,glutes,glutes,hamstrings | core,hip_extension,sagittal,auxiliary,supine,hypertrophy | accessory,intermediate,high_setup,freestanding,bilateral,free_weight,hip_dominant,low_spinal_load,,"Brace, drive through the heels, extend the hips until the ribs stay stacked, and lower without arching the low back."
46,Goblet Squat,goblet-squat,Dumbbell,squat,reps,reps,,"quads, glutes",quads | glutes,core | adductors,squat,sagittal,basic,standing,strength | hypertrophy,intermediate,quick_setup,freestanding,bilateral,free_weight,knee_dominant,moderate_spinal_load,,"Brace the trunk, descend by sitting between the hips while keeping pressure through the whole foot, and drive up through mid-foot."
47,Hack Squat,hack-squat,Machine,squat,reps,reps,,"quads, glutes",quads | glutes,adductors,squat,sagittal,basic,seated,strength | hypertrophy,beginner,quick_setup,supported,bilateral,machine_loaded,knee_dominant,low_spinal_load,,"Brace the trunk, descend by sitting between the hips while keeping pressure through the whole foot, and drive up through mid-foot."
48,Hammer Curl,hammer-curl,Dumbbell,pull,reps,reps,,"biceps, forearms",lats | mid back,biceps,elbow_flexion,sagittal,isolation,standing,hypertrophy | accessory,beginner,quick_setup,freestanding,bilateral,free_weight,elbow_flexion,low_spinal_load,,"Keep the upper arm quiet, curl the load toward shoulder height, and lower without letting the torso sway or the shoulders roll forward."
49,Hanging Leg Raise,hanging-leg-raise,Bodyweight,push,reps,reps,,"core, hip flexors",hip flexors | core,,leg_raise,sagittal,auxiliary,hanging,hypertrophy | accessory,advanced,quick_setup,hanging,bilateral,bodyweight,general_strength,low_spinal_load,hanging,"Posteriorly tilt the pelvis, raise the legs without swinging, and lower only as far as you can keep the trunk braced."
50,High-Bar Back Squat,high-bar-back-squat,Barbell,squat,reps,reps,,"quads, glutes",quads | glutes,adductors,squat,sagittal,basic,standing,strength | hypertrophy,intermediate,high_setup,freestanding,bilateral,free_weight,knee_dominant,high_spinal_load,,"Brace the trunk, descend by sitting between the hips while keeping pressure through the whole foot, and drive up through mid-foot."
51,High-to-Low Cable Fly,high-to-low-cable-fly,Cable,push,reps,reps,,chest,chest | triceps,front delts,chest_fly,transverse,isolation,standing,hypertrophy | accessory,intermediate,moderate_setup,freestanding,bilateral,cable_loaded,shoulder_horizontal_adduction,low_spinal_load,,"Keep a soft elbow bend, open through the chest until the shoulders stay packed, then bring the handles or bells back together with control."
52,Hip Thrust,hip-thrust,Barbell,hinge,reps,reps,,glutes,glutes,hamstrings | core,hip_extension,sagittal,auxiliary,supine,hypertrophy | accessory,intermediate,high_setup,freestanding,bilateral,free_weight,hip_dominant,low_spinal_load,,"Brace, drive through the heels, extend the hips until the ribs stay stacked, and lower without arching the low back."
53,Hollow Body Hold,hollow-body-hold,Bodyweight,push,time,s,,core,core,hip flexors,trunk_bracing,sagittal,basic,standing,conditioning | endurance,beginner,quick_setup,freestanding,bilateral,cardio_machine,trunk_bracing,low_spinal_load,,"Brace the trunk, keep the ribs stacked over the pelvis, and hold the position without letting the low back arch or the torso rotate."
54,Incline Barbell Bench Press,incline-barbell-bench-press,Barbell,push,reps,reps,,"chest, front delts",chest | triceps,front delts,horizontal_push,sagittal,basic,supine,strength | hypertrophy,intermediate,high_setup,supported,bilateral,free_weight,horizontal_press,low_spinal_load,,"Set the shoulders back and down, lower the load to the chest or handles with stacked wrists, and press to full elbow extension under control."
55,Incline Dumbbell Bench Press,incline-dumbbell-bench-press,Dumbbell,push,reps,reps,,"chest, front delts",chest | triceps,front delts,horizontal_push,sagittal,basic,supine,strength | hypertrophy,intermediate,high_setup,supported,bilateral,free_weight,horizontal_press,low_spinal_load,,"Set the shoulders back and down, lower the load to the chest or handles with stacked wrists, and press to full elbow extension under control."
56,Incline Dumbbell Curl,incline-dumbbell-curl,Dumbbell,pull,reps,reps,,biceps,lats | mid back,biceps,elbow_flexion,sagittal,isolation,standing,hypertrophy | accessory,beginner,quick_setup,freestanding,bilateral,free_weight,elbow_flexion,low_spinal_load,,"Keep the upper arm quiet, curl the load toward shoulder height, and lower without letting the torso sway or the shoulders roll forward."
57,Incline Dumbbell Fly,incline-dumbbell-fly,Dumbbell,push,reps,reps,,chest,chest | triceps,front delts,chest_fly,transverse,isolation,supine,hypertrophy | accessory,intermediate,quick_setup,freestanding,bilateral,free_weight,shoulder_horizontal_adduction,low_spinal_load,,"Keep a soft elbow bend, open through the chest until the shoulders stay packed, then bring the handles or bells back together with control."
58,Incline Walk,incline-walk,Cardio Machine,push,time_distance,m,machine_reported,cardio,cardio,,walking,sagittal,basic,standing,conditioning | endurance,beginner,quick_setup,supported,bilateral,cardio_machine,cyclical_conditioning,low_spinal_load,,"Set the pace and incline, keep your posture tall, and walk with a smooth controlled stride instead of hanging on the rails."
59,Jump Rope,jump-rope,Bodyweight,push,time,s,,cardio,cardio,calves,rope_skip,sagittal,basic,standing,conditioning | endurance,beginner,quick_setup,freestanding,bilateral,cardio_machine,cyclical_conditioning,low_spinal_load,,"Stay tall, jump only high enough to clear the rope, and turn it from the wrists while keeping a steady rhythm."
60,Lat Pulldown,lat-pulldown,Cable,pull,reps,reps,,lats,lats,biceps | upper back,vertical_pull,sagittal,basic,standing,hypertrophy | accessory,intermediate,moderate_setup,freestanding,bilateral,cable_loaded,vertical_pull,low_spinal_load,shoulder_depression,"Set the shoulders down first, pull the bar toward the upper chest by driving the elbows to your sides, and return to full reach without shrugging."
61,Lateral Raise,lateral-raise,Dumbbell,push,reps,reps,,side delts,side delts,upper traps,shoulder_abduction,frontal,isolation,standing,hypertrophy | accessory,intermediate,quick_setup,freestanding,bilateral,free_weight,shoulder_abduction,low_spinal_load,,"Raise the load out to shoulder height with a soft elbow, keep the shoulders down, and lower without swinging."
62,Leaning Cable Lateral Raise,leaning-cable-lateral-raise,Cable,push,reps,reps,,side delts,chest | triceps,front delts,shoulder_abduction,frontal,isolation,standing,hypertrophy | accessory,intermediate,moderate_setup,freestanding,bilateral,cable_loaded,shoulder_abduction,low_spinal_load,,"Raise the load out to shoulder height with a soft elbow, keep the shoulders down, and lower without swinging."
63,Leg Extension,leg-extension,Machine,squat,reps,reps,,quads,quads,,knee_extension,sagittal,isolation,seated,hypertrophy | accessory,beginner,quick_setup,supported,bilateral,machine_loaded,knee_dominant,low_spinal_load,,"Set the pad just above the ankles, extend the knees through full range without kicking, and lower under control."
64,Leg Press,leg-press,Machine,squat,reps,reps,,"quads, glutes",quads | glutes,adductors,vertical_push,sagittal,basic,seated,hypertrophy | accessory,beginner,quick_setup,supported,bilateral,machine_loaded,vertical_press,low_spinal_load,,"Brace the trunk, press the load overhead on a controlled path, and finish with the ribs stacked over the hips instead of leaning back."
65,Low-Bar Back Squat,low-bar-back-squat,Barbell,squat,reps,reps,,"glutes, quads",quads | glutes,adductors,squat,sagittal,basic,standing,strength | hypertrophy,intermediate,high_setup,freestanding,bilateral,free_weight,knee_dominant,high_spinal_load,,"Brace the trunk, descend by sitting between the hips while keeping pressure through the whole foot, and drive up through mid-foot."
66,Low-to-High Cable Fly,low-to-high-cable-fly,Cable,push,reps,reps,,chest,chest | triceps,front delts,chest_fly,transverse,isolation,standing,hypertrophy | accessory,intermediate,moderate_setup,freestanding,bilateral,cable_loaded,shoulder_horizontal_adduction,low_spinal_load,,"Keep a soft elbow bend, open through the chest until the shoulders stay packed, then bring the handles or bells back together with control."
67,Lying Leg Curl,lying-leg-curl,Machine,hinge,reps,reps,,hamstrings,hamstrings,calves,knee_flexion,sagittal,isolation,seated,hypertrophy | accessory,beginner,quick_setup,supported,bilateral,machine_loaded,hip_dominant,low_spinal_load,,"Set the hips firmly into the pad, curl the heels toward you without lifting the pelvis, and lower slowly through the full range."
68,Lying Leg Raise,lying-leg-raise,Bodyweight,push,reps,reps,,"core, hip flexors",hip flexors | core,,leg_raise,sagittal,auxiliary,supine,hypertrophy | accessory,intermediate,quick_setup,supported,bilateral,bodyweight,general_strength,low_spinal_load,,"Posteriorly tilt the pelvis, raise the legs without swinging, and lower only as far as you can keep the trunk braced."
69,Machine Biceps Curl,machine-biceps-curl,Machine,pull,reps,reps,,biceps,lats | mid back,biceps,elbow_flexion,sagittal,isolation,seated,hypertrophy | accessory,beginner,quick_setup,supported,bilateral,machine_loaded,elbow_flexion,low_spinal_load,,"Keep the upper arm quiet, curl the load toward shoulder height, and lower without letting the torso sway or the shoulders roll forward."
70,Machine Crunch,machine-crunch,Machine,push,reps,reps,,core,core,hip flexors,trunk_flexion,sagittal,isolation,seated,hypertrophy | accessory,beginner,quick_setup,supported,bilateral,machine_loaded,trunk_flexion,low_spinal_load,,"Brace first, curl the ribcage toward the pelvis through the abs, and return without yanking through the neck or hips."
71,Machine Row,machine-row,Machine,pull,reps,reps,,"lats, mid back",lats | mid back,biceps | rear delts,horizontal_pull,sagittal,basic,seated,strength | hypertrophy,beginner,quick_setup,supported,bilateral,machine_loaded,horizontal_pull,low_spinal_load,,"Brace the torso, pull the load toward the lower ribs or hip, squeeze the upper back, and return without letting the shoulders dump forward."
72,Machine Shoulder Press,machine-shoulder-press,Machine,push,reps,reps,,"front delts, triceps",chest | triceps,front delts,vertical_push,sagittal,basic,seated,hypertrophy | accessory,beginner,quick_setup,supported,bilateral,machine_loaded,vertical_press,low_spinal_load,overhead_lockout,"Brace the trunk, press the load overhead on a controlled path, and finish with the ribs stacked over the hips instead of leaning back."
73,Neutral-Grip Pull-Up,neutral-grip-pull-up,Bodyweight,pull,reps,reps,,"lats, upper back",lats | mid back,biceps,vertical_pull,sagittal,basic,hanging,strength | hypertrophy,intermediate,quick_setup,hanging,bilateral,bodyweight,vertical_pull,low_spinal_load,neutral_grip | hanging,"Start from a full hang or reach, pull the elbows toward the ribs until the bar comes to you, and lower to full extension under control."
74,Nordic Curl,nordic-curl,Bodyweight,hinge,reps,reps,,hamstrings,hamstrings,glutes,knee_flexion,sagittal,isolation,standing,hypertrophy | accessory,advanced,quick_setup,freestanding,bilateral,bodyweight,hip_dominant,low_spinal_load,,"Set the hips firmly into the pad, curl the heels toward you without lifting the pelvis, and lower slowly through the full range."
75,Overhead Press,overhead-press,Barbell,push,reps,reps,,"front delts, triceps",front delts | triceps,side delts | core,vertical_push,sagittal,basic,standing,strength | hypertrophy,intermediate,high_setup,freestanding,bilateral,free_weight,vertical_press,high_spinal_load,overhead_lockout,"Brace the trunk, press the load overhead on a controlled path, and finish with the ribs stacked over the hips instead of leaning back."
76,Overhead Triceps Extension,overhead-triceps-extension,Cable,push,reps,reps,,triceps,chest | triceps,front delts,elbow_extension,sagittal,isolation,standing,hypertrophy | accessory,intermediate,moderate_setup,freestanding,bilateral,cable_loaded,elbow_extension,low_spinal_load,,"Pin the upper arm in place, extend the elbow to full lockout, and return with control instead of letting the weight yank you back."
77,Pallof Press,pallof-press,Cable,push,reps,reps,,core,core,upper back,anti_rotation,transverse,auxiliary,standing,core_stability | accessory,intermediate,moderate_setup,freestanding,bilateral,cable_loaded,trunk_bracing,low_spinal_load,,"Brace through the trunk, press the handle straight out without letting the torso twist, and return under control."
78,Paused Back Squat,paused-back-squat,Barbell,squat,reps,reps,,"quads, glutes",quads | glutes,adductors,squat,sagittal,basic,standing,strength | skill,advanced,high_setup,freestanding,bilateral,free_weight,knee_dominant,high_spinal_load,,"Brace hard, descend to your target depth, pause without losing position, and drive up through the whole foot."
79,Paused Barbell Bench Press,paused-barbell-bench-press,Barbell,push,reps,reps,,"chest, triceps",chest | triceps,front delts,horizontal_push,sagittal,basic,supine,strength | skill,advanced,high_setup,supported,bilateral,free_weight,horizontal_press,low_spinal_load,,"Set the shoulders back and down, lower the load to the chest or handles with stacked wrists, and press to full elbow extension under control."
80,Paused Deadlift,paused-deadlift,Barbell,hinge,reps,reps,,"glutes, hamstrings, lower back",glutes | hamstrings,lower back,hinge,sagittal,basic,standing,strength | skill,advanced,high_setup,freestanding,bilateral,free_weight,hip_dominant,high_spinal_load,,"Brace, keep the bar close as you hinge and pull, pause at the intended position without losing tension, and finish the rep under control."
81,Paused Front Squat,paused-front-squat,Barbell,squat,reps,reps,,"quads, glutes",quads | glutes,adductors,squat,sagittal,basic,standing,strength | skill,advanced,high_setup,freestanding,bilateral,free_weight,knee_dominant,high_spinal_load,front_rack,"Brace hard, descend to your target depth, pause without losing position, and drive up through the whole foot."
